"CANT. DE PARTICIPANTES","FEMENINO","MASCULINO","DEPARTAMENTO","PROVINCIA","DISTRITO","CENTRO POBLADO","COMUNIDAD CAMPESINA O NATIVA","NOMBRE DEL EVENTO","TRIMESTRE"
"1","1","0","AMAZONAS","CONDORCANQUI","NIEVA","","ALTO KUIT","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","PUNO","PUNO","PUNO","ALTO PUNO","CANCELACION DE ACTAS REGISTRALES","IV"
"1","0","1","HUANUCO","LEONCIO PRADO","CASTILLO GRANDE","","C.P CASTILLO GRANDE","INTEGRAL EN REGISTROS CIVILES","IV"
"2","1","1","UCAYALI ","CORONEL PORTILLO ","NUEVA  REQUENA ","","C.P NUEVA ESPERANZA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LORETO ","UCAYALI ","PAMPA HERMOSA ","","C.P NUEVO LORETO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","HUANUCO ","PUERTO INCA ","PUERTO INCA ","","C.P PORVENIR ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","HUANUCO ","PUERTO INCA","PUERTO INCA ","","C.P PUERTO SIRA ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","UCAYALI ","CORONEL PORTILLO ","PUERTO INCA ","","C.P SHEBONYA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","MOQUEGUA","MARISCAL NIETO","SAN CRISTOBAL","","CALACOA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","CAMANA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","VIRÚ","VIRÚ","GUADALUPITO","CAMPO NUEVO","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","LA LIBERTAD","VIRÚ","VIRÚ","GUADALUPITO","CAMPO NUEVO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","","CARPINTERO KIRIGUETI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","","CASHIRIARI","INTEGRAL EN REGISTROS CIVILES","IV"
"2","0","2","UCAYALI ","CORONEL PORTILLO ","IPARIA ","","CC. NN PUEBLO NUEVO DEL CACO ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","LORETO ","UCAYALI ","CONTAMANA","","CC.NN CANAAN","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","UCAYALI ","CORONEL PORTILLO ","YARINACOCHA ","","CC.NN PUERTO FIRMEZA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","LORETO ","UCAYALI ","CONTAMANA","","CC.NN NUEVO EDEN ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","UCAYALI ","CORONEL PORTILLO ","MASISEA","","CC.NN SANTA ROSA DE DINAMARCA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","KUMPIRUSHIATO","","CHACOPISHIATO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","UCAYALI ","PADRE ABAD ","NESHUYA ","","CP SANTA ROSA DE GUINEA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","PICHARI","","GRAN SHINONGARI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO ","PARURO","CCAPI","","INCACONA","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","KITEPAMAPANI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI",""," KOCHIRI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PUNO","PUNO","ACORA","MARCA ESQUEÑA","MARCA ESQUEÑA","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","NUEVA VIDA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","PUERTO HUALLANA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","PUERTO RICO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","SAN ANTONIO DE PUTINA","PUTINA","","PUTINA","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","LA LIBERTAD ","BOLIVAR","BOLÍVAR","LONGOTEA","SAN VICENTE DE PAUL","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","SEGAKIATO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","SENSA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","KUMPIRUSHIATO","","SHIMAA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","","SHIVANKORENI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","","TANGOSHIARI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","TICUMPINIA CHOCORIARI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","TIMPIA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA ","LA UNION","19 DE AGOSTO ","","ATENCIÓN AL USUARIO","IV"
"1","0","1","PIURA","PIURA","LA UNION","19 DE AGOSTO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","AMAZONAS","UTCUMBAMBA","CAJARURO","ALTO AMAZONAS ","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","PUNO","PUNO","ALTO PUNO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PUNO","PUNO","PUNO","ALTO PUNO","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO ","AZANGARO","ARAPA","ARAPA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"2","1","1","LA LIBERTAD","SÁNCHEZ CARRION","COCHORCI","ARICAPAMPA ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","AZÁNGARO ","ASILLO ","ASILLO","","CANCELACION DE ACTAS REGISTRALES","IV"
"1","1","0","AYACUCHO","SUCRE","SANTIAGO DE PAUCARAY","ATIHUARA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA","AYAPATA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA","AYAPATA",".","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA","AYAPATA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA ","AYAPATA ","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","PUNO","MELGAR","AYAVIRI","AYAVIRI","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","0","1","PUNO","MELGAR","ORURILLO","BALSAPATA","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","MELGAR","ORURILLO","BALSAPATA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","PUNO ","EL COLLAO","PILCUYO","BARRIO PILCUYO","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"2","2","0","PIURA","MORROPON","CHULUCANAS","BATANES","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","1","CAJAMARCA","SAN MIGUEL","BOLIVAR","BOLIVAR","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PUNO","LAMPA","CABANILLA","CABANILLA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","0","1","PUNO ","LAMPA","CALAPUJA","CALAPUJA","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","PUNO ","PUNO","PLATERÍA ","CAMACANI","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","TACNA","CANDARAVE","CANDARAVE","CANDARAVE","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","LAMBAYEQUE","LAMBAYEQUE","LAMBAYEQUE","CAPILLA SANTA ROSA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","ANCASH","RECUAY","TICAPAMPA","CAYAC","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","ANCASH","RECUAY","TICAPAMPA ","CAYAC","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LAMBAYEQUE","CHICLAYO","CAYALTI","CAYALTI","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA","LA UNION","CENTRO POBLADO 19 DE AGOSTO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PIURA","PIURA","LA ARENA","CHATITO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PIURA","PIURA","LA ARENA","CHATITO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","ASCOPE","CHICAMA","CHICLIN","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PUNO","EL COLLAO","PILCUYO","CHIPANA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA","LAS LOMAS","CHIPILLICO","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","PUNO","PUNO","CHUCUITO","CHUCUITO","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO","PUNO","CHUCUITO ","CHUCUITO ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD","JULCAN","JULCAN","CHUGURPAMPA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","SAN ANTONIO DE PUTINA","ANANEA","CHUQUINE","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","AYACUCHO","VICTOR FAJARDO","HUANCARAYLLA","CIRCAMARCA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","LA LIBERTAD","SANCHEZ CARRION","CHUGAY","COCHABAMBA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","SANCHEZ CARRION","SARIN","COCHAS","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","AMAZONAS","LUYA","CAMPORREDONDO","COCOCHÓ","","ATENCIÓN AL USUARIO","IV"
"1","0","1","PUNO","EL COLLAO","ILAVE","COLLATA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PIURA","HUANCABAMBA","CANCHAQUE","COYONA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","MORROPON","LA MATANZA","CP. LAYNAS","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA","CATACAOS","CP. NARIHUALA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","TUMBES","ZARUMILLA","PAPAYAL","CP. UÑA DE GATO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PUNO ","PUNO","ACORA","CRUCERO","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","LAMBAYEQUE","LAMBAYEQUE","MORROPE","CRUZ DEL MEDANO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","QUELLOUNO"," CUENCA DE CHAPO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","SANCHEZ CARRION","CURGOS","CURGOS","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","LA LIBERTAD","TRUJILLO ","MOCHE","CURVA DE SUN","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD","TRUJILLO","MOCHE","CURVA DE SUN","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD ","VIRÚ ","VIRÚ ","EL CARMELO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD ","VIRU","VIRU","EL CARMELO","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","LA LIBERTAD ","VIRU","VIRU","EL CARMELO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","LA LIBERTAD","SAN MIGUEL","LLAPA","EL EMPALME","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CAJAMARCA","CAJABAMBA","CONDEBAMBA","EL HUAYO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","SANCHEZ CARRION","HUAMACHUCO","EL PALLAR","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","ANCASH","HUARI","HUARI","EL PORVENIR","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","LAMBAYEQUE","LAMBAYEQUE","OLMOS","EL PUEBLITO","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","LAMBAYEQUE","LAMBAYEQUE","OLMOS","EL PUEBLITO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO ","CARABAYA ","COASA","ESQUENA","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","PUNO","CARABAYA","AYAPATA","HANAC AYLLO","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","LAMBAYEQUE ","CHICLAYO ","CHONGOYAPE ","HUACA BLANCA","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PUNO","PUNO","HUATA","HUATA","","CANCELACION DE ACTAS REGISTRALES","IV"
"1","0","1","CUSCO","LA CONVENCION","SANTA ANA"," HUAYANAY","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","MADRE DE DIOS","TAHUAMANU","IBERIA","IBERIA","","CANCELACION DE ACTAS REGISTRALES","IV"
"1","0","1","CAJAMARCA","CUTERVO","QUERECOTILLO","INGUER","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO ","CHUCUITO","ZEPITA","ISANI ","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","PUNO","SAN ROMAN","JULIACA","ISLA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","PUNO ","CARABAYA ","ITUATA ","ITUATA ","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","PUNO ","CARABAYA ","ITUATA ","ITUATA ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","AREQUIPA","CARAVELI","JAQUI","JAQUI","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PIURA","SULLANA","MIGUEL CHECA","JIBITO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","KUMPIRUSHIATO","KEPASHIATO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","ECHARATE","KITENI","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LAMBAYEQUE","LAMBAYEQUE","OLMOS","LA CAPILLA CENTRAL","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LIMA","CAÑETE","NUEVO IMPERIAL","LA FLORIDA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PAITA","PAITA","LA TORTUGA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","HUANCABAMBA","SONDORILLO","LACCHAN ALTO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","CANAS","KUNTURKANKI","LARAMANI","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","1","0","LIMA","YAUYOS","LARAOS","LARAOS","","ATENCIÓN AL USUARIO","IV"
"1","1","0","PUNO","MELGAR","ANTAUTA ","LARIMAYO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PUNO","MELGAR","ANTAUTA","LARIMAYO","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","PUNO","MELGAR","ANTAUTA","LARIMAYO ","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","LIMON DE PORCUYA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PUNO","CHUCUITO","POMATA","LLAQUEPA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","MOQUEGUA","MARISCAL NIETO","MOQUEGUA","LOS ANGELES","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA","LA UNION","LOS CANIZALES","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","LORETO ","UCAYALI ","CONTAMANA","MANCO CAPAC ","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","AYACUCHO","HUAMANGA","SOCOS","MANZANAYOCC","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","JUNIN","CONCEPCION","MATAHUASI","MARAVILCA","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","PUNO","ACORA","MARCA ESQUEÑA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","LA LIBERTAD","PACASMAYO","GUADALUPE","MARISCAL CASTILLA","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO ","AZÁNGARO ","SANTIAGO DE PUPUJA ","MATARO CHICO ","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","PUNO","AZÁNGARO ","SANTIAGO DE PUPUJA","MATARO CHICO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","AZÁNGARO ","SANTIAGO DE PUPUJA ","MATARO CHICO ","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","MIARIA","","INTEGRAL EN REGISTROS CIVILES","IV"
"2","2","0","LA LIBERTAD ","TRUJILLO ","MOCHE ","MIRAMAR ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LAMBAYEQUE","CHICLAYO ","LAGUNAS ","MOCUPE","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LAMBAYEQUE","CHICLAYO ","LAGUNAS","MOCUPE","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","CUSCO","LA CONVENCION","VILCABAMBA","NARANJAL PALTAYBAMBA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA","CATACAOS","NARIHUALA","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","UCAYALI ","CORONEL PORTILLO ","YARINACOCHA ","NUEVA ESPERANZA DE PANAILLO ","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","NUEVA LUZ","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD ","VIRÚ","CHAO","NUEVO CHAO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD","VIRU","CHAO","NUEVO CHAO","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","NUEVO MUNDO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","NUEVO SAN MARTIN","","ATENCIÓN AL USUARIO","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","NUEVO SAN MARTIN","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","NUEVO SAN MARTIN","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","AMAZONAS","CONDORCANQUI","NIEVA","NUEVO SEASMI","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","AYACUCHO","HUAMANGA","VINCHOS","OPANCCA","","INTEGRAL EN REGISTROS CIVILES","IV"
